序号,Id,昵称,所在地,类型,节点,层级,关注数,粉丝数,Label,Source,Target
1,1764676431,小故事集锦,重庆 渝北区,1,1,0,464,374,小故事集锦,1764676431,1323527941
2,3065288281,KOKKINAKIS,,1,1,0,193,806,KOKKINAKIS,3065288281,1323527941
3,2423628432,睿者雄风,浙江 杭州,1,1,0,414,186,睿者雄风,2423628432,1323527941
4,1899600043,侑希子,海外 其他,1,1,0,394,543,侑希子,1899600043,1323527941
5,1731605590,JongKey_Bia,广东 惠州,1,1,0,170,401,JongKey_Bia,1731605590,1323527941
6,1297946645,墨蒅_飞殇,,1,1,0,403,1148,墨蒅_飞殇,1297946645,1323527941
7,1739278672,CaNdY_小易,,1,1,0,725,503,CaNdY_小易,1739278672,1323527941
8,3124024393,喂你含笑半步癫,江苏 宿迁,1,1,0,194,142,喂你含笑半步癫,3124024393,1323527941
9,2880329290,会飞的发光兔子,四川 成都,1,1,0,213,192,会飞的发光兔子,2880329290,1323527941
10,2973549465,醉卧云端笑人间_,北京,1,1,0,206,340,醉卧云端笑人间_,2973549465,1323527941
11,5600447018,二丫Orz,广西 北海,1,1,0,84,174,二丫Orz,5600447018,1323527941
12,2318486812,天与山的彼端,浙江,1,1,0,580,12,天与山的彼端,2318486812,1323527941
13,5600447018,二丫Orz,广西 北海,1,1,0,84,174,二丫Orz,5600447018,1323527941
14,3319857822,天舞沙,其他,1,1,0,527,162,天舞沙,3319857822,1323527941
15,2377456682,独家记忆0124,浙江,1,1,0,300,63,独家记忆0124,2377456682,1323527941
16,3319658124,Minoz-芮麟,广东 东莞,1,1,0,89,90,Minoz-芮麟,3319658124,1323527941
17,5984861444,黑暗角落漫无止境,海外 其他,1,1,0,0,2,黑暗角落漫无止境,5984861444,1323527941
18,5396170991,妖婆婆1992,河北 保定,1,1,0,484,98,妖婆婆1992,5396170991,1323527941
19,2247953422,海阔童鞋,福建 泉州,1,1,0,62,28,海阔童鞋,2247953422,1323527941
20,2739748975,二囧3,山东 滨州,1,1,0,191,26,二囧3,2739748975,1323527941
21,1823762717,ChristinaWang圆圈,北京 东城区,1,1,0,476,2231,ChristinaWang圆圈,1823762717,1323527941
22,5320148566,一只大盆子,其他,1,1,0,95,21,一只大盆子,5320148566,1323527941
23,5340452675,用自己喜欢的方式活着,河南 驻马店,1,1,0,141,58,用自己喜欢的方式活着,5340452675,1323527941
24,1823762717,ChristinaWang圆圈,北京 东城区,1,1,0,476,2231,ChristinaWang圆圈,1823762717,1323527941
25,5292423247,瑞瑞2371,,1,1,0,265,29,瑞瑞2371,5292423247,1323527941
26,2811969751,NiniFan_i,其他,1,1,0,370,247,NiniFan_i,2811969751,1323527941
27,5984861444,黑暗角落漫无止境,海外 其他,1,1,0,0,2,黑暗角落漫无止境,5984861444,1323527941
28,5320148566,一只大盆子,其他,1,1,0,95,21,一只大盆子,5320148566,1323527941
29,5646240169,向阳生长5646240169,,1,1,0,37,5,向阳生长5646240169,5646240169,1323527941
30,5436113256,图图小仙女哈,浙江 金华,1,1,0,89,1700,图图小仙女哈,5436113256,1323527941
31,1787360624,DearZhang张,香港 其他,1,1,0,346,1203,DearZhang张,1787360624,1323527941
32,5727121912,real__yxx,湖南 长沙,1,1,0,67,9,real__yxx,5727121912,1323527941
33,1841724765,一直漂流的鹰,,1,1,0,85,25,一直漂流的鹰,1841724765,1323527941
34,2783985635,Reagan_L-G,山西,1,1,0,38,73,Reagan_L-G,2783985635,1323527941
35,3194621927,暴走的中哥,山东 烟台,1,1,0,89,89,暴走的中哥,3194621927,1323527941
36,1815409275,大风刮成狮子头omg,北京,1,1,0,108,185,大风刮成狮子头omg,1815409275,1323527941
37,2601028241,WO方凯丽,广东,1,1,0,192,133,WO方凯丽,2601028241,1323527941
38,2219607124,紫薯玉米红豆糕,安徽 滁州,1,1,0,219,377,紫薯玉米红豆糕,2219607124,1323527941
39,5653386010,peakaboooo,上海 黄浦区,1,1,0,183,18,peakaboooo,5653386010,1323527941
40,5864122548,魚魚魚魚魚魚魚樂i,北京,1,1,0,165,46,魚魚魚魚魚魚魚樂i,5864122548,1323527941
41,3300954207,全是憧憬丶,海南 其他,1,1,0,71,15,全是憧憬丶,3300954207,1323527941
42,2084510403,萌萌哒不再迟到了,北京 东城区,1,1,0,355,197,萌萌哒不再迟到了,2084510403,1323527941
43,5247422764,瑞士糖甜得掉牙,安徽 合肥,1,1,0,54,31,瑞士糖甜得掉牙,5247422764,1323527941
44,2765205001,林2指尖的音符,河北 廊坊,1,1,0,118,114,林2指尖的音符,2765205001,1323527941
45,1995070903,丶陈少锋,浙江 绍兴,1,1,0,409,37,丶陈少锋,1995070903,1323527941
