id,uid,昵称,所在地,转发时间,节点,层级,转发数,评论数,点赞数,内容
1,1323527941,Vista看天下,,2016-07-25 08:47,-1,0,1682,10636,0,【八达岭动物园被老虎咬伤游客脱离危险 亲友：误认为已出虎园】当事游客进入园区前签订过相关责任书，其中明确规定严禁下车。而事发时，游客并非因口角下车，只是误认为已经出了虎园。年轻女子违反安全须知下车后，巡逻车及时发现，用高音喇叭警示游客迅速回到车内，并向现场赶来，但为时已晚。监控视频显示，年轻女子被老虎拖走后，年轻男子先下车，年老女士随后下车。据相关部门介绍，在视频监控看不到的地方，另外一只老虎将年老女士咬伤，该女士当场死亡。伤者全身多处撕裂伤，不排除感染可能O八达岭动物园被老虎咬伤游客脱离危险，亲友：...
1643,2008312411,别说话没话说,,2016-07-25 08:48,1,1,0,0,0,好恐怖
1642,1413320982,catherine蹦蹦,,2016-07-25 08:48,1,1,0,0,0,转发微博
1641,2458652961,张pirs,北京 朝阳区,2016-07-25 08:48,1,1,0,0,0,哎
1640,1919886703,西湖有糖醋鱼,其他,2016-07-25 08:48,1,1,0,0,0,…
1639,1772096214,剪刀手汤老板,,2016-07-25 08:48,1,1,0,0,0,这亲友要脸吗？
1638,1660428602,慕木-Study_For_Eozea,,2016-07-25 08:48,1,1,0,0,0,好惨
1637,5342785168,少数派-圣徒,江苏,2016-07-25 08:48,1,1,0,0,0,一个害人害己害全家的呆逼而已……不值得同情！
1636,3651419360,omeipia,福建 福州,2016-07-25 08:48,1,1,1,1,0,脑子是个好东西
1644,5319191724,冥天使夜星,福建 福州,2016-07-25 09:16,1636,2,0,0,0,//@棱镜刷探机:脑子是个好东西
1635,1664303283,萱影轩姿_G_PACE,,2016-07-25 08:48,1,1,0,0,0,................
1634,2245634545,不吃辣条的熊,河南 洛阳,2016-07-25 08:49,1,1,0,0,0,我觉得这个新闻告诉我们母老虎再厉害也没有真老虎厉害
1633,1569941762,Shiranui-白野威,,2016-07-25 08:49,1,1,0,0,0,为博眼球胡乱报道的媒体该拿去枪毙了
1632,2579537595,吉尔伽美潘,云南 昆明,2016-07-25 08:49,1,1,0,0,0,很想知道结局是什么？不要又是老虎被枪毙
1631,2633032437,本多小白,,2016-07-25 08:50,1,1,0,0,0,自己找死
1630,2284485303,今天的你有女朋友了吗,,2016-07-25 08:50,1,1,0,0,0,误以为？？？呵呵，推责任给动物园了？？？
1629,2363347981,soso的陈大湿,,2016-07-25 08:51,1,1,0,0,0,MDZZ
1628,2893117985,羊羊寨主,,2016-07-25 08:51,1,1,0,0,0,呵呵 假话说的太真 我说我信的你信吗？
1627,3319989315,融四咪,北京 西城区,2016-07-25 08:51,1,1,0,0,0,再次心疼老虎和虎园
1626,1833250450,张建业_邺,浙江 杭州,2016-07-25 08:51,1,1,0,0,0,转发微博
1625,1781083227,MoSiN101,,2016-07-25 08:52,1,1,0,0,0,转发微博
1624,3223173077,雨中的CLEAR_Artii,海外 美国,2016-07-25 08:52,1,1,1,0,0,这个说法完全经不起推敲
1645,2064096284,PETA亚洲保护豆芽组织,,2016-07-25 08:57,1624,2,0,0,0,…保护老虎人人有责//@雨中的CLEAR_Artii:这个说法完全经不起推敲
1623,5536473464,张嘉玮的初秋,陕西 西安,2016-07-25 08:52,1,1,0,0,0,作。
1622,1721960384,一刀平五千-,北京 大兴区,2016-07-25 08:52,1,1,0,2,0,我希望最后动物园一毛钱都不用赔，并且给予游客处罚，然后不要处理那只老虎。既然亲友是这个态度，那么容我给老虎点个赞。
1621,3346434762,我是喵个叽,北京 丰台区,2016-07-25 08:53,1,1,0,0,0,为了讹点钱脑子终于上线了
1620,2078574995,Yuyi酱酱,浙江 杭州,2016-07-25 08:54,1,1,0,0,0,规定这个东西 希望国人出门人人都能遵守 最好再带个脑子。
1619,2242636177,麦子在天边,海外 新西兰,2016-07-25 08:54,1,1,1,1,0,从情上，同情人，从理上，不能责难虎啊。
1646,1739043682,荒旦大V,海外 美国,2016-07-25 09:18,1619,2,0,0,0,老虎是好的，它以为是投喂出来的活食，不吃的话太不给主人面子//@麦子在天边: 从情上，同情人，从理上，不能责难虎啊。
1618,1926103751,luna_liuyan,陕西 西安,2016-07-25 08:54,1,1,0,0,0,无论如何，不要为难老虎
1617,3130318197,blacktea120120,海外 澳大利亚,2016-07-25 08:54,1,1,0,0,0,转发微博
1616,2528628284,糖醋排骨萌萌哒,四川 成都,2016-07-25 08:55,1,1,0,0,0,看到评论都是说人蠢 我就放心了三观极正
1615,5800778749,灵零妖舞,,2016-07-25 08:55,1,1,0,0,0,//@不吃辣条的熊：我觉得这个新闻告诉我们母老虎再厉害也没有真老虎厉害
1614,5621564642,夜无月L,四川,2016-07-25 08:56,1,1,0,0,0,这锅，动物园不背误认为，是想着赔款吧
1613,1752175804,小王爷的老爷,其他,2016-07-25 08:56,1,1,1,0,0,
1647,1751859057,月下有孤狼,浙江 杭州,2016-07-25 17:07,1613,2,0,0,0,依旧改变不了无脑的 事实//@小王爷的老爷:
1612,3697693463,漠河河河河河,广西 北海,2016-07-25 08:56,1,1,0,0,0,转发微博
1611,3979196693,susanyaoontheway,辽宁 鞍山,2016-07-25 08:56,1,1,0,0,0,转发微博
1609,2698112533,这家伙很懒_什么也没有留下,广东 深圳,2016-07-25 08:57,1,1,0,0,0,
1608,1836437061,Tonia只花间,重庆 南岸区,2016-07-25 08:57,1,1,0,0,0,甩锅给老虎吗?又不是制杖会看不到虎园的大门?这门过没过自己心里清楚。不能让老虎背黑锅。
1607,1737977601,阿__韵呀_,,2016-07-25 08:58,1,1,0,0,0,开始甩锅。动物园表示这个锅我不背
1606,5106485811,1314支离破碎,广东 汕头,2016-07-25 08:58,1,1,0,0,0,转发微博
1605,1630749797,Kyrie君,,2016-07-25 08:58,1,1,0,0,0,其实意思就是说，你在核爆的时候在一个隔绝辐射安全车里，当渐渐远离核爆中心的时候就觉得安全了，就可以下车。为什么不能等回家？不知道情况严峻？
1604,1174513792,favor001,其他,2016-07-25 08:59,1,1,0,1,0,误认为……这是打算强势碰瓷的节奏啊
1603,1935590417,joe138,广东 佛山,2016-07-25 08:59,1,1,0,0,0,转发微博
1602,1914607035,UR橘子皮,湖南 长沙,2016-07-25 08:59,1,1,0,0,0,哦 谁告诉你出了虎园就能下车的？
1601,2923005895,老崔的革命根据地,北京 海淀区,2016-07-25 08:59,1,1,0,0,0,傻逼
1600,5201965103,Alzek87,其他,2016-07-25 08:59,1,1,1,0,0,智商太低或者视力太差的话，动物园都去不了
1648,5201965103,Alzek87,其他,2016-07-25 09:01,1600,2,0,0,0,而且没吵架你扒什么车门啊 //@Alzek87:智商太低或者视力太差的话，动物园都去不了
1599,1191552324,没籽的葡萄好吃,新疆 乌鲁木齐,2016-07-25 08:59,1,1,0,0,0,蠢货居然没死？
1598,5944060014,我就四个烟台银,山东 烟台,2016-07-25 09:00,1,1,0,0,0,我就想知道，认为动物园有责任的人，你们觉得动物园应该怎样做。
