序号,Id,昵称,所在地,类型,节点,层级,关注数,粉丝数,Label,Source,Target
1,1323527941,Vista看天下,,0,-1,0,1678,11647068,Vista看天下,1323527941,0
1643,2008312411,别说话没话说,,0,1,1,215,180,别说话没话说,2008312411,1323527941
1642,1413320982,catherine蹦蹦,,0,1,1,1996,1631,catherine蹦蹦,1413320982,1323527941
1641,2458652961,张pirs,北京 朝阳区,0,1,1,466,261,张pirs,2458652961,1323527941
1640,1919886703,西湖有糖醋鱼,其他,0,1,1,317,153,西湖有糖醋鱼,1919886703,1323527941
1639,1772096214,剪刀手汤老板,,0,1,1,685,1268,剪刀手汤老板,1772096214,1323527941
1638,1660428602,慕木-Study_For_Eozea,,0,1,1,1929,1407,慕木-Study_For_Eozea,1660428602,1323527941
1637,5342785168,少数派-圣徒,江苏,0,1,1,966,408,少数派-圣徒,5342785168,1323527941
1636,3651419360,omeipia,福建 福州,0,1,1,360,690,omeipia,3651419360,1323527941
1644,5319191724,冥天使夜星,福建 福州,0,1636,2,36,71,冥天使夜星,5319191724,3651419360
1635,1664303283,萱影轩姿_G_PACE,,0,1,1,456,1279,萱影轩姿_G_PACE,1664303283,1323527941
1634,2245634545,不吃辣条的熊,河南 洛阳,0,1,1,932,177,不吃辣条的熊,2245634545,1323527941
1633,1569941762,Shiranui-白野威,,0,1,1,416,1364,Shiranui-白野威,1569941762,1323527941
1632,2579537595,吉尔伽美潘,云南 昆明,0,1,1,214,462,吉尔伽美潘,2579537595,1323527941
1631,2633032437,本多小白,,0,1,1,4110,26512,本多小白,2633032437,1323527941
1630,2284485303,今天的你有女朋友了吗,,0,1,1,955,590,今天的你有女朋友了吗,2284485303,1323527941
1629,2363347981,soso的陈大湿,,0,1,1,263,422,soso的陈大湿,2363347981,1323527941
1628,2893117985,羊羊寨主,,0,1,1,238,53,羊羊寨主,2893117985,1323527941
1627,3319989315,融四咪,北京 西城区,0,1,1,703,256,融四咪,3319989315,1323527941
1626,1833250450,张建业_邺,浙江 杭州,0,1,1,1978,1363,张建业_邺,1833250450,1323527941
1625,1781083227,MoSiN101,,0,1,1,262,994,MoSiN101,1781083227,1323527941
1624,3223173077,雨中的CLEAR_Artii,海外 美国,0,1,1,746,17791,雨中的CLEAR_Artii,3223173077,1323527941
1645,2064096284,PETA亚洲保护豆芽组织,,0,1624,2,436,599,PETA亚洲保护豆芽组织,2064096284,3223173077
1623,5536473464,张嘉玮的初秋,陕西 西安,0,1,1,192,64,张嘉玮的初秋,5536473464,1323527941
1622,1721960384,一刀平五千-,北京 大兴区,0,1,1,277,485,一刀平五千-,1721960384,1323527941
1621,3346434762,我是喵个叽,北京 丰台区,0,1,1,342,38,我是喵个叽,3346434762,1323527941
1620,2078574995,Yuyi酱酱,浙江 杭州,0,1,1,276,308,Yuyi酱酱,2078574995,1323527941
1619,2242636177,麦子在天边,海外 新西兰,0,1,1,597,2461,麦子在天边,2242636177,1323527941
1646,1739043682,荒旦大V,海外 美国,0,1619,2,330,301,荒旦大V,1739043682,2242636177
1618,1926103751,luna_liuyan,陕西 西安,0,1,1,178,120,luna_liuyan,1926103751,1323527941
1617,3130318197,blacktea120120,海外 澳大利亚,0,1,1,118,23,blacktea120120,3130318197,1323527941
1616,2528628284,糖醋排骨萌萌哒,四川 成都,0,1,1,678,129,糖醋排骨萌萌哒,2528628284,1323527941
1615,5800778749,灵零妖舞,,0,1,1,70,17,灵零妖舞,5800778749,1323527941
1614,5621564642,夜无月L,四川,0,1,1,240,96,夜无月L,5621564642,1323527941
1613,1752175804,小王爷的老爷,其他,0,1,1,491,552,小王爷的老爷,1752175804,1323527941
1647,1751859057,月下有孤狼,浙江 杭州,0,1613,2,98,88,月下有孤狼,1751859057,1752175804
1612,3697693463,漠河河河河河,广西 北海,0,1,1,525,81,漠河河河河河,3697693463,1323527941
1611,3979196693,susanyaoontheway,辽宁 鞍山,0,1,1,95,29,susanyaoontheway,3979196693,1323527941
1609,2698112533,这家伙很懒_什么也没有留下,广东 深圳,0,1,1,603,217,这家伙很懒_什么也没有留下,2698112533,1323527941
1608,1836437061,Tonia只花间,重庆 南岸区,0,1,1,277,284,Tonia只花间,1836437061,1323527941
1607,1737977601,阿__韵呀_,,0,1,1,574,1688,阿__韵呀_,1737977601,1323527941
1606,5106485811,1314支离破碎,广东 汕头,0,1,1,2005,191,1314支离破碎,5106485811,1323527941
1605,1630749797,Kyrie君,,0,1,1,767,277,Kyrie君,1630749797,1323527941
1604,1174513792,favor001,其他,0,1,1,530,470,favor001,1174513792,1323527941
1603,1935590417,joe138,广东 佛山,0,1,1,1083,637,joe138,1935590417,1323527941
1602,1914607035,UR橘子皮,湖南 长沙,0,1,1,528,453,UR橘子皮,1914607035,1323527941
1601,2923005895,老崔的革命根据地,北京 海淀区,0,1,1,1001,218,老崔的革命根据地,2923005895,1323527941
1600,5201965103,Alzek87,其他,0,1,1,90,38,Alzek87,5201965103,1323527941
1648,5201965103,Alzek87,其他,0,1600,2,90,38,Alzek87,5201965103,5201965103
1599,1191552324,没籽的葡萄好吃,新疆 乌鲁木齐,0,1,1,1456,986,没籽的葡萄好吃,1191552324,1323527941
1598,5944060014,我就四个烟台银,山东 烟台,0,1,1,389,209,我就四个烟台银,5944060014,1323527941
1597,5577242805,SEVENTEEN徐明浩,其他,0,1,1,54,3,SEVENTEEN徐明浩,5577242805,1323527941
1596,1490372962,他回精神病院了,,0,1,1,935,5436756,他回精神病院了,1490372962,1323527941
1673,5426689713,宁波鹤年堂眼宝微商总代招代理,浙江 宁波,0,1596,2,108,28,宁波鹤年堂眼宝微商总代招代理,5426689713,1490372962
1672,1708479403,主任家的小宝宝,其他,0,1596,2,848,370,主任家的小宝宝,1708479403,1490372962
1671,2518065512,最后的黑千鸟,四川 成都,0,1596,2,173,112,最后的黑千鸟,2518065512,1490372962
1670,2091230153,马峦山前,,0,1596,2,540,754,马峦山前,2091230153,1490372962
1669,2101650225,自由天马的星空,,0,1596,2,1997,594,自由天马的星空,2101650225,1490372962
1668,1910841025,水月妙如,北京,0,1596,2,235,403,水月妙如,1910841025,1490372962
1667,1765808854,瑜美玉也,广西 桂林,0,1596,2,337,206,瑜美玉也,1765808854,1490372962
1666,1410432864,beautynemo,北京 朝阳区,0,1596,2,1298,180,beautynemo,1410432864,1490372962
1665,1216975771,如影随形liua,河北 廊坊,0,1596,2,308,208,如影随形liua,1216975771,1490372962
1674,1438772295,紫雪飞絮,,0,1665,3,205,485,紫雪飞絮,1438772295,1216975771
1664,2978673585,天空0709,河南 开封,0,1596,2,259,67,天空0709,2978673585,1490372962
1663,1421804340,梦晨伤,,0,1596,2,1032,41467,梦晨伤,1421804340,1490372962
1677,1824180754,杨凡之胜者为王,江苏 南京,0,1663,3,592,770,杨凡之胜者为王,1824180754,1421804340
1676,5581614696,最后的和稀泥人,其他,0,1663,3,418,49,最后的和稀泥人,5581614696,1421804340
1675,1926001183,唯有时光,浙江 杭州,0,1663,3,146,98,唯有时光,1926001183,1421804340
1662,2170097493,Super露露露,重庆 渝中区,0,1596,2,506,333,Super露露露,2170097493,1490372962
1661,1721123042,磨牙不误早起,,0,1596,2,256,278,磨牙不误早起,1721123042,1490372962
1659,1216353004,创想老刘,,0,1596,2,917,1600,创想老刘,1216353004,1490372962
1658,3907443241,渊博的三哥666,北京 东城区,0,1596,2,559,39,渊博的三哥666,3907443241,1490372962
1657,3255701183,阿敏SYS,河北 石家庄,0,1596,2,124,256,阿敏SYS,3255701183,1490372962
1656,1790623675,思念如刀-平凡,北京 海淀区,0,1596,2,968,613,思念如刀-平凡,1790623675,1490372962
1654,1865782255,花溪姐,吉林,0,1596,2,1675,764,花溪姐,1865782255,1490372962
1651,1609753720,Ada伊,广东 江门,0,1596,2,274,296,Ada伊,1609753720,1490372962
1650,2652953471,雷母丹顶菲,,0,1596,2,334,709,雷母丹顶菲,2652953471,1490372962
1649,5976758646,关你球事儿,山东 青岛,0,1596,2,290,300,关你球事儿,5976758646,1490372962
1595,2708809167,雪裳夏影,其他,0,1,1,310,380,雪裳夏影,2708809167,1323527941
1593,1736091223,请叫我doll桑,海外 其他,0,1,1,347,156,请叫我doll桑,1736091223,1323527941
1592,3243371072,狐Nick,四川 成都,0,1,1,385,425,狐Nick,3243371072,1323527941
1590,1086691187,哭了又笑了我,海外,0,1,1,562,521,哭了又笑了我,1086691187,1323527941
1588,2697281140,追自己n,,0,1,1,114,494,追自己n,2697281140,1323527941
1587,5323486782,天空树下的绘梨花,江苏 扬州,0,1,1,133,56,天空树下的绘梨花,5323486782,1323527941
1586,3199837654,毕竟你桃,辽宁 抚顺,0,1,1,310,413,毕竟你桃,3199837654,1323527941
1585,1727183533,Jinception,上海 卢湾区,0,1,1,561,5212,Jinception,1727183533,1323527941
1678,1709827017,Erinus,其他,0,1585,2,460,770,Erinus,1709827017,1727183533
